htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
hvd.32044061947982	Á las islas Marianas ó al golfo de Guinea? Memoria laureada con el primer accésit por la Real academia de ciencias morales y políticas en el concurso ordinario de 1875, sobre si convendria establecer en las islas del golfo de Guinea ó en las Marianas unas colonias penitenciarias como las inglesas de Botany-Bay Por D. Pedro Armengol y Cornet 	Armengol y Cornet, Pedro.	1878-00-00	1	8957971	11003334		https://catalog.hathitrust.org/Record/100350940	https://hdl.handle.net/2027/hvd.32044061947982
msu.31293017737978	Africa. Islas de Fernando Poo, Corisco, y Annobon por don Jose Muñoz Gaviria, viz-conde de San Javier 	Fabraquer, Jose Muñoz y Gaviria, conde de.	1871-00-00	1	18452464			https://catalog.hathitrust.org/Record/100881836	https://hdl.handle.net/2027/msu.31293017737978
hvd.32044102831385	Apuntes sobre el estado de la costa occidental de Africa y principalmente de las posesiones españoles en el Golfo de Guinea por Joaquín J. Navarro 	Navarro, Joaquín J.	1859-00-00	1	13977977	83189627		https://catalog.hathitrust.org/Record/011615626	https://hdl.handle.net/2027/hvd.32044102831385
hvd.hxdt7k	Aventuras de un piloto en el golfo de Guinea. [Pt. i.] 	Donacuige.	1886-00-00	1	235829118			https://catalog.hathitrust.org/Record/100561532	https://hdl.handle.net/2027/hvd.hxdt7k
ucm.5324331611	Breves apuntes sobre la isla de Fernando Póo en el Golfo de Guinea escríbelos por modo de introduccion á la historia de esta isla y para conocimiento de los que vayan á ella, Miguel Martinez y Sanz 	Martínez y Sanz, Miguel.	1859-00-00	1				https://catalog.hathitrust.org/Record/009348958	https://hdl.handle.net/2027/ucm.5324331611
hvd.32044080385370	Los confinados á Fernando Póo é impresiones de un viage á Guinea Por Francisco Javier Balmaseda 	Balmaseda, Francisco Javier, 1833-1907.	1869-00-00	1	9300154	02002370		https://catalog.hathitrust.org/Record/011604919	https://hdl.handle.net/2027/hvd.32044080385370
hvd.32044080153323	Cuestiones palpitantes de política, derecho y administración; discursos por Rafael M. de Labra 	Labra, Rafael M. de 1841-1918.	1897-00-00	9	21007887	11016539		https://catalog.hathitrust.org/Record/100363386	https://hdl.handle.net/2027/hvd.32044080153323
hvd.32044080201999	El guante gris; viaje imaginario á las costas de Guinea 	Colmenares, Aureliano.	1877-00-00	1	82857045			https://catalog.hathitrust.org/Record/100358775	https://hdl.handle.net/2027/hvd.32044080201999
uc1.$b761614	Memoria de las misiones de Fernando Póo y sus dependencias. Escrita por el Rdo. P. Procurador de los Misioneros Hijos del Inmaculado Corazón de María 		1890-00-00	1	379556643			https://catalog.hathitrust.org/Record/009959805	https://hdl.handle.net/2027/uc1.$b761614
hvd.32044061568598	Nuevos aranceles judiciales para lo criminal en las Islas de Cuba, Puerto Rico, Filipinas y posesiones del Golfo de Guinea; anotados con las disposiciones aclaratorias y complementarias por la redacción de la Revista de los tribunales 	Spain.	1894-00-00	1	80921581			https://catalog.hathitrust.org/Record/100359012	https://hdl.handle.net/2027/hvd.32044061568598
hvd.32044088675889	Observaciones al llamado Opúsculo sobre la colonización de Fernando Póo publicado por Adolfo Guillemar de Aragon 	Usera y Alarcon, Gerónimo M.	1852-00-00	1	83023492			https://catalog.hathitrust.org/Record/011626357	https://hdl.handle.net/2027/hvd.32044088675889
ien.35556000462788	Opúsculo sobre la colonizacion de Fernando Póo y revista de los principales establecimientos europeos en la costa occidental de Africa publicado de Real órden por Adolfo Guillemar de Aragon 	Guillemar de Aragon, Adolfo.	1852-00-00	1	25942270			https://catalog.hathitrust.org/Record/012326474	https://hdl.handle.net/2027/ien.35556000462788
yale.39002054591780	Segunda memoria de las misiones de Fernando Póo y sus dependencias 	Coll, Armengol, b. 1859.	1899-00-00	9	10498875			https://catalog.hathitrust.org/Record/007708941	https://hdl.handle.net/2027/yale.39002054591780
