htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
hvd.hnnh75	Apuntes geográficos de las islas Filipinas, escritos sobre el terreno por Enrique Mhartin y Guix ... 	Mhartín y Guix, Enrique de.	1889-00-00	1	13173371	12004983		https://catalog.hathitrust.org/Record/100514858	https://hdl.handle.net/2027/hvd.hnnh75
hvd.hnnh7g	Apuntes interesantes sobre las Islas Filipinas : que pueden ser útiles para hacer las reformes convenientes y productivas para el país y para la nación escritos por un español de larga esperiencia en el país y amante del progreso 	Barrantes, Vicente, 1829-1898.	1869-00-00	1	5182636	01025344		https://catalog.hathitrust.org/Record/001870966	https://hdl.handle.net/2027/hvd.hnnh7g
uc1.$b52617	Artículos varios sobre etnografía, historia y costumbres de Filipinas Con un prólogo crítico de D. Cesareo Blanco y Sierra ... 	Reyes y Florentino, Isabelo de los, 1865-1938.	1888-00-00	1	28567226			https://catalog.hathitrust.org/Record/006574085	https://hdl.handle.net/2027/uc1.$b52617
miun.afj2145.0001.001	Avisos y profecías por W. E. Retana 	Retana, W. E. 1862-1924.	1892-00-00	1	33049656	01020661		https://catalog.hathitrust.org/Record/001256801	https://hdl.handle.net/2027/miun.afj2145.0001.001
hvd.hnnh7h	Las colonias españolas de Asia Islas Filipinas, por el teniente coronel comandante de infanteria Manuel Scheidnagel 	Scheidnagel, Manuel, -1898.	1880-00-00	1	351321	01009452		https://catalog.hathitrust.org/Record/001267301	https://hdl.handle.net/2027/hvd.hnnh7h
hvd.32044009842055	Colonización de Filipinas : estudios prácticos acerca de la colonización con elementos peninsulares, de nuestras posesiones oceánicas reseña geogrf́ico-geológico-minera de las mismas por J. N. Aguilar, con un prólogo de D. Arístides Saenz de Urraca 	Nieto Aguila, José.	1893-00-00	1	29111126	10008400		https://catalog.hathitrust.org/Record/001870973	https://hdl.handle.net/2027/hvd.32044009842055
uc1.c051358909	Consideraciones acerca de la actual situación política de Filipinas por el profesor Fernando Blumentritt 	Blumentritt, Ferdinand, 1853-1913.	1889-00-00	1	28568463	03016308		https://catalog.hathitrust.org/Record/100787952	https://hdl.handle.net/2027/uc1.c051358909
uc1.$b52620	Las costumbres en los Tagalos en Filipinas / según el Padre Plasencia ; por T. H. Pardo de Tavera 	Juan, de Plasencia, d. 1590.	1892-00-00	1	13459956			https://catalog.hathitrust.org/Record/006574087	https://hdl.handle.net/2027/uc1.$b52620
yale.39002002407063	Cuba, Puerto-Rico y Filipinas por d. Waldo Jiménez de la Romera 	Jiménez de la Romera, Waldo, 1835-1896.	1887-00-00	1	3153821	02015756		https://catalog.hathitrust.org/Record/001858206	https://hdl.handle.net/2027/yale.39002002407063
uc1.31822038212049	Derrotero de la navegacion á las islas Filipinas : con los viages de ida y vuelta á aquellas islas en ambas mozones, y la descripcion de las islas de Sonda, Molucas ... por ... Antonio Maestre y Cañamares 	Maestre y Cañamares, Antonio	1862-00-00	1	19684496			https://catalog.hathitrust.org/Record/010824821	https://hdl.handle.net/2027/uc1.31822038212049
hvd.hnw1jw	Diario del viage desde Madrid a Manila, en las islas Filipinas, por la via del itsmo [!] de Suez, que de órden del gobierno de S. M. hizo en principios de 1844 el coronel Don Eusebio de Santos Modificado y ampliado posteriormente á consecuencia del que en parte verificó á su regreso de las indicadas posesiones por la misma via 	Santos, Eusebio de.	1851-00-00	1	8312487	12003716		https://catalog.hathitrust.org/Record/011640440	https://hdl.handle.net/2027/hvd.hnw1jw
miun.ajt5952.0001.001	[Documentos inéditos] de las islas Filipinas 0001.001	Salas y Rodriguez, Francisco Javier de, d. 1890.	1887-00-00	1	34298899	06007054		https://catalog.hathitrust.org/Record/002039028	https://hdl.handle.net/2027/miun.ajt5952.0001.001
hvd.hnnh7a	Escenas filipinas. Narraciones originales de costumbres de dichas islas por Francisco Vila ... precedidas de un prólogo de D. Rafael Ginard de la Rosa ... 	Vila, Francisco.	1882-00-00	1	28582454	09016888		https://catalog.hathitrust.org/Record/008702572	https://hdl.handle.net/2027/hvd.hnnh7a
ucm.4900297006	España en la Occeanía : Estudios históricos sobre Filipinas, proyecto de conquista y colonización de Mindanao 	García del Canto, A.	1862-00-00	1				https://catalog.hathitrust.org/Record/009647709	https://hdl.handle.net/2027/ucm.4900297006
